#
#  Times of cadences affected by momentum dumps
#  Created Tue May 30 14:17:38 EDT 2023 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-08-11 16:33:41.883088 UTC, 1342.19086882, 1218040440.0, 82610, 5507
2018-08-14 04:17:41.797071 UTC, 1344.67975671, 1218255480.0, 84402, 5626
2018-08-14 04:19:41.797023 UTC, 1344.68114560, 1218255600.0, 84403, 5626
2018-08-14 04:21:41.796975 UTC, 1344.68253449, 1218255720.0, 84404, 5626
2018-08-14 04:23:41.796927 UTC, 1344.68392338, 1218255840.0, 84405, 5626
2018-08-14 04:25:41.796879 UTC, 1344.68531227, 1218255960.0, 84406, 5626
2018-08-14 04:27:41.796831 UTC, 1344.68670116, 1218256080.0, 84407, 5626
2018-08-14 04:29:41.796783 UTC, 1344.68809004, 1218256200.0, 84408, 5627
2018-08-14 04:31:41.796735 UTC, 1344.68947893, 1218256320.0, 84409, 5627
2018-08-14 04:33:41.796687 UTC, 1344.69086782, 1218256440.0, 84410, 5627
2018-08-16 16:17:41.710670 UTC, 1347.17975571, 1218471480.0, 86202, 5746
2018-08-16 16:19:41.710622 UTC, 1347.18114460, 1218471600.0, 86203, 5746
2018-08-16 16:21:41.710574 UTC, 1347.18253349, 1218471720.0, 86204, 5746
2018-08-16 16:23:41.710526 UTC, 1347.18392238, 1218471840.0, 86205, 5746
2018-08-16 16:25:41.710478 UTC, 1347.18531127, 1218471960.0, 86206, 5746
2018-08-16 16:27:41.710430 UTC, 1347.18670015, 1218472080.0, 86207, 5746
2018-08-16 16:29:41.710382 UTC, 1347.18808904, 1218472200.0, 86208, 5747
2018-08-16 16:31:41.710334 UTC, 1347.18947793, 1218472320.0, 86209, 5747
2018-08-16 16:33:41.710286 UTC, 1347.19086682, 1218472440.0, 86210, 5747
2018-08-19 04:17:41.624269 UTC, 1349.67975471, 1218687480.0, 88002, 5866
2018-08-19 04:19:41.624221 UTC, 1349.68114360, 1218687600.0, 88003, 5866
2018-08-19 04:21:41.624173 UTC, 1349.68253249, 1218687720.0, 88004, 5866
2018-08-19 04:23:41.624125 UTC, 1349.68392138, 1218687840.0, 88005, 5866
2018-08-19 04:25:41.624077 UTC, 1349.68531027, 1218687960.0, 88006, 5866
2018-08-19 04:27:41.624029 UTC, 1349.68669915, 1218688080.0, 88007, 5866
2018-08-19 04:29:41.623981 UTC, 1349.68808804, 1218688200.0, 88008, 5867
2018-08-19 04:31:41.623933 UTC, 1349.68947693, 1218688320.0, 88009, 5867
2018-08-19 04:33:41.623885 UTC, 1349.69086582, 1218688440.0, 88010, 5867
2018-08-21 16:17:41.537868 UTC, 1352.17975371, 1218903480.0, 89802, 5986
2018-08-21 16:19:41.537820 UTC, 1352.18114260, 1218903600.0, 89803, 5986
2018-08-21 16:21:41.537772 UTC, 1352.18253149, 1218903720.0, 89804, 5986
2018-08-21 16:23:41.537724 UTC, 1352.18392038, 1218903840.0, 89805, 5986
2018-08-21 16:25:41.537676 UTC, 1352.18530926, 1218903960.0, 89806, 5986
2018-08-21 16:27:41.537628 UTC, 1352.18669815, 1218904080.0, 89807, 5986
