,ID,ra,dec,gallong,gallat,Tmag,mass,rad,logg,Teff,plx,n_sec
1,144335294,355.975442657255,-43.6006975711754,338.164874797017,-68.618705003203,9.35029983520508,2.09999990463257,1.95975005626678,4.17588996887207,8469.0,2.80416011810303,2
3,27955206,358.395852459468,-18.36925080863,63.2407732506683,-74.0637836330223,9.34889984130859,1.99000000953674,2.3652400970459,3.98917007446289,8158.0,2.45605993270874,2
16,261592869,350.64171173352,-77.5741451743305,308.899925883791,-38.5053776539238,9.8878002166748,1.77999997138977,1.89480996131897,4.13334989547729,7618.0,2.70391988754272,4
24,144386996,357.364137859725,-43.4607158505043,336.40818250682,-69.4172835795196,9.82909965515137,2.00999999046326,2.42360997200012,3.97234010696411,8218.0,1.8739800453186,2
37,139121153,320.046922129325,-43.5934245925396,357.266961133099,-44.7499619616362,8.73519992828369,2.08999991416931,2.45932006835938,3.97657990455627,8423.0,3.050950050354,3
39,392814143,346.575306738424,-72.9712720672319,312.988452461652,-42.0423224664289,8.74829959869385,1.77999997138977,2.08117008209229,4.05186986923218,7641.0,3.98076009750366,4
41,5796490,348.87415701005,-14.5390888723191,57.4950426184353,-64.3649759014146,8.69439029693604,1.90499997138977,1.51628005504608,4.35640001296997,7936.0,5.32661008834839,3
42,183821388,358.483389616006,-37.4080346068057,349.030859356135,-74.1146748321201,8.60109996795654,1.98000001907349,2.16390991210938,4.06424999237061,8123.0,3.76033997535706,2
43,327854141,358.203689935859,-85.8955145654941,304.143702895192,-31.0939581048985,7.81319999694824,2.02999997138977,2.19797992706299,4.06152009963989,8274.0,5.43330001831055,3
61,89547212,358.166171490036,-18.5618738416347,62.2109836677253,-73.9982035375413,6.76039981842041,2.1800000667572,1.75436997413635,4.28828001022339,8686.0,10.0111999511719,2
70,144381527,356.819246414594,-46.7125616758874,331.540318840182,-66.6920991630297,9.68840026855469,1.89999997615814,1.75413000583649,4.22870016098022,7928.0,2.88779997825623,3
78,13092260,348.928378102274,-27.1783577051177,27.274702844294,-68.7389953980011,8.57057952880859,1.87699997425079,1.9230899810791,4.14352989196777,7867.0,4.46217012405396,2
89,204390145,348.53151368328,-19.6958364169301,46.1688932741908,-66.5190845647905,7.44554996490479,2.15000009536743,1.8204699754715,4.25014019012451,8608.0,7.15495014190674,2
90,139188649,345.046903760234,-44.9392924550465,346.835053279012,-61.5573100295671,9.03489971160889,1.75,1.62845003604889,4.25755977630615,7552.0,4.4843602180481,2
92,260795850,347.415593086809,-66.4719588746755,317.67758281556,-47.6375284538008,7.58459997177124,1.78999996185303,2.13286995887756,4.03298997879028,7643.0,6.62348985671997,3
94,218979514,349.869492148534,-33.030241761264,10.7976135847474,-69.2985074460795,8.14820003509521,1.74000000953674,2.0405900478363,4.05911016464233,7535.0,5.40613985061646,2
118,237336864,347.365470205781,-63.6533645778131,320.189924659504,-49.9192042633258,9.23649978637695,1.98000001907349,1.51328003406525,4.37488985061646,8116.0,4.0482702255249,3
120,4602717,348.836970154017,-11.5654878006465,62.8603753330551,-62.6001372650373,7.37181997299194,1.88300001621246,2.08677005767822,4.07396984100342,7881.0,7.17677021026611,3
122,277941886,355.925174452208,-75.5599685993462,308.440922188054,-40.8354615879259,9.44120025634766,1.76999998092651,1.69928002357483,4.22551012039185,7599.0,3.58388996124268,4
131,206663472,343.094092592174,-34.1858819149703,10.1316605545872,-63.5458231397951,9.66989994049072,1.76999998092651,1.8256299495697,4.16321992874146,7615.0,2.94411993026733,2
183,1965523096,306.552044935704,37.1932521727309,76.0882268007023,-0.529320258310821,9.56140995025635,2.11500000953674,1.61313998699188,4.34804010391235,8503.0,3.15752005577087,3
230,1882955006,292.480210614257,49.5082143923678,81.5376885318696,14.4889190243343,9.46329975128174,2.26999998092651,2.11167001724243,4.14483976364136,9006.0,2.34097003936768,5
316,719464294,88.5936900636854,18.8996759540242,189.64780835468,-3.42769210158071,8.64321994781494,2.14400005340576,2.05509996414185,4.143630027771,8589.0,3.74830007553101,3
400,840133442,148.035268424834,16.4624542378824,217.831166857322,47.2723183645767,9.87650012969971,1.82000005245209,2.14007997512817,4.03728008270264,7732.0,2.30714011192322,2
401,765344858,103.225304093933,-65.4235485457961,275.769906715432,-24.3501269218247,9.7608003616333,2.13000011444092,2.25562000274658,4.05990982055664,8553.0,2.0670599937439,12
419,757330514,108.154700624532,-0.679314437354953,215.957744365963,4.40022343098602,9.28055953979492,2.16199994087219,2.4795401096344,3.98417997360229,8644.0,2.26629996299744,1
449,751261212,114.82703155684,-8.68116558337663,226.186853701922,6.52330608097593,9.63770961761475,2.20700001716614,2.27607989311218,4.06750011444092,8787.0,2.07550001144409,1
515,827410276,131.62266655165,-34.9758749754779,256.779168497056,5.13623242400897,9.59249973297119,2.03999996185303,1.595370054245,4.34197998046875,8291.0,3.30599999427795,1
521,807125322,133.787517188341,-62.9020685110001,279.441119027393,-11.3948844513013,9.76679992675781,1.9099999666214,2.17824006080627,4.0428900718689,7941.0,2.43720006942749,3
532,827723552,136.571664468258,-31.5931470443084,256.830658950635,10.4786656433598,9.21420001983643,2.20000004768372,2.01740002632141,4.1709098815918,8772.0,2.9580500125885,1
552,847861519,154.769962966271,-64.6757811573016,287.531896950773,-6.46224405929893,6.44670009613037,2.28999996185303,1.69596004486084,4.33906984329224,9056.0,11.461799621582,3
583,1813955186,285.18997013636,23.2955632529212,54.8361069439799,8.45833491072593,9.38455009460449,2.10599994659424,2.42084002494812,3.99359011650085,8475.0,2.6331799030304,3
603,471011184,112.383224364781,-73.3787040418522,285.050655117639,-23.2541170668044,9.49569988250732,2.11999988555908,2.32905006408691,4.0300498008728,8524.0,2.41733002662659,23
644,1715683215,281.095765818443,39.6127921399256,68.7952889872432,18.1698694438874,5.24870014190674,1.78999996185303,2.03729009628296,4.07282018661499,7647.0,20.0603008270264,6
