#
#  Times of cadences affected by momentum dumps
#  Created Thu Dec 28 00:03:26 EST 2023 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2021-02-09 11:27:07.998802 UTC, 2254.97797666, 1296905280.0, 739817, 147962
2021-02-09 11:29:07.998749 UTC, 2254.97936555, 1296905400.0, 739818, 147963
2021-02-09 11:31:07.998696 UTC, 2254.98075444, 1296905520.0, 739819, 147963
2021-02-09 11:33:07.998643 UTC, 2254.98214333, 1296905640.0, 739820, 147963
2021-02-09 11:35:07.998591 UTC, 2254.98353222, 1296905760.0, 739821, 147963
2021-02-09 11:37:07.998538 UTC, 2254.98492111, 1296905880.0, 739822, 147963
2021-02-09 11:39:07.998485 UTC, 2254.98630999, 1296906000.0, 739823, 147964
2021-02-09 11:41:07.998432 UTC, 2254.98769888, 1296906120.0, 739824, 147964
2021-02-15 12:31:07.768495 UTC, 2261.02241844, 1297427520.0, 744169, 148833
2021-02-15 12:33:07.768442 UTC, 2261.02380733, 1297427640.0, 744170, 148833
2021-02-15 12:35:07.768389 UTC, 2261.02519622, 1297427760.0, 744171, 148833
2021-02-15 12:37:07.768336 UTC, 2261.02658511, 1297427880.0, 744172, 148833
2021-02-15 12:39:07.768283 UTC, 2261.02797400, 1297428000.0, 744173, 148834
2021-02-15 12:41:07.768230 UTC, 2261.02936289, 1297428120.0, 744174, 148834
2021-02-15 12:43:07.768177 UTC, 2261.03075177, 1297428240.0, 744175, 148834
2021-02-23 01:33:07.481438 UTC, 2268.56547068, 1298079240.0, 749600, 149919
2021-02-23 01:35:07.481386 UTC, 2268.56685957, 1298079360.0, 749601, 149919
2021-02-23 01:37:07.481333 UTC, 2268.56824846, 1298079480.0, 749602, 149919
2021-02-23 01:39:07.481281 UTC, 2268.56963734, 1298079600.0, 749603, 149920
2021-02-23 01:41:07.481228 UTC, 2268.57102623, 1298079720.0, 749604, 149920
2021-02-23 01:43:07.481176 UTC, 2268.57241512, 1298079840.0, 749605, 149920
2021-02-23 01:45:07.481123 UTC, 2268.57380401, 1298079960.0, 749606, 149920
2021-02-23 01:47:07.481070 UTC, 2268.57519290, 1298080080.0, 749607, 149920
2021-02-23 01:49:07.481018 UTC, 2268.57658179, 1298080200.0, 749608, 149921
2021-02-23 01:51:07.480965 UTC, 2268.57797067, 1298080320.0, 749609, 149921
2021-02-23 01:53:07.480913 UTC, 2268.57935956, 1298080440.0, 749610, 149921
2021-02-23 01:55:07.480860 UTC, 2268.58074845, 1298080560.0, 749611, 149921
2021-02-23 01:57:07.480808 UTC, 2268.58213734, 1298080680.0, 749612, 149921
2021-02-28 18:01:07.266261 UTC, 2274.25157930, 1298570520.0, 753694, 150738
2021-02-28 18:03:07.266208 UTC, 2274.25296819, 1298570640.0, 753695, 150738
2021-02-28 18:05:07.266156 UTC, 2274.25435708, 1298570760.0, 753696, 150738
2021-02-28 18:07:07.266103 UTC, 2274.25574597, 1298570880.0, 753697, 150738
2021-02-28 18:09:07.266051 UTC, 2274.25713485, 1298571000.0, 753698, 150739
2021-02-28 18:11:07.265998 UTC, 2274.25852374, 1298571120.0, 753699, 150739
2021-02-28 18:13:07.265946 UTC, 2274.25991263, 1298571240.0, 753700, 150739
2021-03-07 09:13:07.014523 UTC, 2280.88490972, 1299143640.0, 758470, 151693
2021-03-07 09:15:07.014469 UTC, 2280.88629861, 1299143760.0, 758471, 151693
2021-03-07 09:17:07.014416 UTC, 2280.88768750, 1299143880.0, 758472, 151693
2021-03-07 09:19:07.014362 UTC, 2280.88907639, 1299144000.0, 758473, 151694
2021-03-07 09:21:07.014308 UTC, 2280.89046528, 1299144120.0, 758474, 151694
2021-03-07 09:23:07.014254 UTC, 2280.89185416, 1299144240.0, 758475, 151694
2021-03-07 09:25:07.014201 UTC, 2280.89324305, 1299144360.0, 758476, 151694
2021-03-07 09:27:07.014147 UTC, 2280.89463194, 1299144480.0, 758477, 151694
2021-03-07 09:29:07.014093 UTC, 2280.89602083, 1299144600.0, 758478, 151695
2021-03-07 09:31:07.014039 UTC, 2280.89740972, 1299144720.0, 758479, 151695
2021-03-07 09:33:07.013985 UTC, 2280.89879860, 1299144840.0, 758480, 151695
2021-03-07 09:35:07.013932 UTC, 2280.90018749, 1299144960.0, 758481, 151695
2021-03-07 09:37:07.013878 UTC, 2280.90157638, 1299145080.0, 758482, 151695
2021-03-13 07:31:06.785019 UTC, 2286.81407373, 1299655920.0, 762739, 152547
2021-03-13 07:33:06.784965 UTC, 2286.81546262, 1299656040.0, 762740, 152547
2021-03-13 07:35:06.784911 UTC, 2286.81685151, 1299656160.0, 762741, 152547
2021-03-13 07:37:06.784857 UTC, 2286.81824040, 1299656280.0, 762742, 152547
2021-03-13 07:39:06.784803 UTC, 2286.81962929, 1299656400.0, 762743, 152548
2021-03-13 07:41:06.784750 UTC, 2286.82101817, 1299656520.0, 762744, 152548
2021-03-13 07:43:06.784696 UTC, 2286.82240706, 1299656640.0, 762745, 152548
2021-03-20 06:33:06.516282 UTC, 2293.77379285, 1300257240.0, 767750, 153549
2021-03-20 06:35:06.516229 UTC, 2293.77518173, 1300257360.0, 767751, 153549
2021-03-20 06:37:06.516177 UTC, 2293.77657062, 1300257480.0, 767752, 153549
2021-03-20 06:39:06.516124 UTC, 2293.77795951, 1300257600.0, 767753, 153550
2021-03-20 06:41:06.516071 UTC, 2293.77934840, 1300257720.0, 767754, 153550
2021-03-20 06:43:06.516018 UTC, 2293.78073729, 1300257840.0, 767755, 153550
2021-03-20 06:45:06.515966 UTC, 2293.78212618, 1300257960.0, 767756, 153550
2021-03-20 06:47:06.515913 UTC, 2293.78351506, 1300258080.0, 767757, 153550
2021-03-20 06:49:06.515860 UTC, 2293.78490395, 1300258200.0, 767758, 153551
2021-03-20 06:51:06.515808 UTC, 2293.78629284, 1300258320.0, 767759, 153551
2021-03-20 06:53:06.515755 UTC, 2293.78768173, 1300258440.0, 767760, 153551
2021-03-20 06:55:06.515702 UTC, 2293.78907062, 1300258560.0, 767761, 153551
2021-03-20 06:57:06.515650 UTC, 2293.79045951, 1300258680.0, 767762, 153551
2021-03-26 08:01:06.286324 UTC, 2299.83490130, 1300780920.0, 772114, 154422
2021-03-26 08:03:06.286271 UTC, 2299.83629018, 1300781040.0, 772115, 154422
2021-03-26 08:05:06.286219 UTC, 2299.83767907, 1300781160.0, 772116, 154422
2021-03-26 08:07:06.286166 UTC, 2299.83906796, 1300781280.0, 772117, 154422
2021-03-26 08:09:06.286113 UTC, 2299.84045685, 1300781400.0, 772118, 154423
2021-03-26 08:11:06.286061 UTC, 2299.84184574, 1300781520.0, 772119, 154423
2021-03-26 08:13:06.286008 UTC, 2299.84323463, 1300781640.0, 772120, 154423
2021-04-02 17:19:06.005541 UTC, 2307.22239805, 1301419200.0, 777433, 155486
2021-04-02 17:21:06.005487 UTC, 2307.22378693, 1301419320.0, 777434, 155486
2021-04-02 17:23:06.005434 UTC, 2307.22517582, 1301419440.0, 777435, 155486
2021-04-02 17:25:06.005381 UTC, 2307.22656471, 1301419560.0, 777436, 155486
2021-04-02 17:27:06.005328 UTC, 2307.22795360, 1301419680.0, 777437, 155486
2021-04-02 17:29:06.005274 UTC, 2307.22934249, 1301419800.0, 777438, 155487
